NAME,REFERENCE_NUMBER,LINK,DISCOUNT_PRICE,PRICE,CONDITION,YEAR
Navitimer 8 Chronograph 43,M13314101B1X1,https://www.chronext.com/breitling/navitimer/m13314101b1x1/C77851,"3,120","4,780",Unworn - New,2022
Luminor Luminor Marina,PAM00104,https://www.chronext.com/panerai/luminor/pam00104/V47170,"5,210","5,210",Very Good,2008
Speedmaster,3510.50.00,https://www.chronext.com/omega/speedmaster/3510-50-00/V36387,"2,790","2,870",Vintage,1991
Seamaster Diver 300M Co-Axial Master Chronometer,210.30.42.20.03.001,https://www.chronext.com/omega/seamaster/210-30-42-20-03-001/V29470,"5,230","5,230",Unworn - New,2021
Seamaster Diver 300M Co-Axial Master Chronometer,210.32.42.20.03.001,https://www.chronext.com/omega/seamaster/210-32-42-20-03-001/V29469,"4,650","4,650",Unworn - New,2021
Submersible,PAM00973,https://www.chronext.com/panerai/submersible/pam00973/V29560,"7,910","7,910",Unworn - New,2021
Clé,WSCL0007,https://www.chronext.com/cartier/cle/wscl0007/V33406,"3,810","3,810",Like New,2021
Seamaster Aqua Terra 150 M Co-Axial Master Chronometer,220.10.41.21.01.001,https://www.chronext.com/omega/seamaster/220-10-41-21-01-001/V29380,"5,090","5,410",Unworn - New,2021
Seamaster Aqua Terra 150 M Quartz,231.10.39.60.02.001,https://www.chronext.com/omega/seamaster/231-10-39-60-02-001/V35162,"1,970","1,970",Very Good,2021
Black Bay,79030B,https://www.chronext.com/tudor/black-bay/79030b/V29578,"3,740","4,720",Unworn - New,2021
Black Bay Bronze,79250BA,https://www.chronext.com/tudor/black-bay/79250ba/V43421,"4,280","4,280",Unworn - New,2022
Black Bay 41,79540,https://www.chronext.com/tudor/black-bay/79540/V31236,"2,800","3,780",Unworn - New,2021
Black Bay,79230B,https://www.chronext.com/tudor/black-bay/79230b/V29487,"3,070","3,070",Unworn - New,2021
Chronomat 41,AB0140,https://www.chronext.com/breitling/chronomat/ab0140/V33284,"4,530","4,550",Very Good,<div>CHRONEXT Certificate</div>
Seamaster Diver 300M,210.22.42.20.03.002,https://www.chronext.com/omega/seamaster/210-22-42-20-03-002/V20014,"5,840","5,840",Unworn - New,2021
Explorer II,16570,https://www.chronext.com/rolex/explorer-ii/16570/V34051,"9,220","9,220",Very Good,2006
Seamaster Diver 300M 007 Edition,210.90.42.20.01.001,https://www.chronext.com/omega/seamaster/210-90-42-20-01-001/V38904,"9,380","9,380",Unworn - New,2022
Big Bang,301.SX.1170.GR.1104,https://www.chronext.com/hublot/big-bang/301-sx-1170-gr-1104/V34768,"11,870","11,870",Like New,2017
Superocean 42,A17364,https://www.chronext.com/breitling/superocean/a17364/V46579,"2,450","2,450",Very Good,2012
Black Bay 36,79500,https://www.chronext.com/tudor/black-bay/79500/V29829,"3,070","3,130",Unworn - New,2021
Explorer I,214270,https://www.chronext.com/rolex/explorer/214270/V29195,"14,240","14,240",Unworn - New,2021
Speedmaster Michael Schumacher Racing,3510.61.00,https://www.chronext.com/omega/speedmaster/3510-61-00/V35196,"3,170","3,170",Vintage,1995
